table,name,definition,type,allowed_values,units,missing_value_rules
yearbook_clean,E13_13_Cars,Cars (China Statistical Yearbook table E13_13),numeric,non-negative numeric; see unit,10000_units,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_13_Caustic_Soda_Converted_to,Caustic Soda Converted to (China Statistical Yearbook table E13_13),numeric,non-negative numeric; see unit,100,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_13_Cement,Cement (China Statistical Yearbook table E13_13),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_13_Chemical_Fiber,Chemical Fiber (China Statistical Yearbook table E13_13),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_13_Chemical_Nitrogen_Phosphate_and_Potash_Fertilizers_for_Agricultural_Use,Chemical Nitrogen Phosphate and Potash Fertilizers for Agricultural Use (China Statistical Yearbook table E13_13),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_13_Chemical_Pesticide,Chemical Pesticide (China Statistical Yearbook table E13_13),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_13_Cigarettes,Cigarettes (China Statistical Yearbook table E13_13),numeric,non-negative numeric; see unit,100_million_pieces,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_13_Cloth,Cloth (China Statistical Yearbook table E13_13),numeric,non-negative numeric; see unit,100_million_m,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_13_Color_Television_Sets,Color Television Sets (China Statistical Yearbook table E13_13),numeric,non-negative numeric; see unit,10000_units,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_13_Crude_Steel,Crude Steel (China Statistical Yearbook table E13_13),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_13_Ethylene,Ethylene (China Statistical Yearbook table E13_13),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_13_Household_Refrigerators,Household Refrigerators (China Statistical Yearbook table E13_13),numeric,non-negative numeric; see unit,10000_units,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_13_Household_Washing_Machines,Household Washing Machines (China Statistical Yearbook table E13_13),numeric,non-negative numeric; see unit,10000_units,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_13_Integrated_Circuit,Integrated Circuit (China Statistical Yearbook table E13_13),numeric,non-negative numeric; see unit,100_million_units,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_13_Large_and_Medium_sized_Tractors,Large and Medium sized Tractors (China Statistical Yearbook table E13_13),numeric,non-negative numeric; see unit,10000_units,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_13_Machine_made_Paper_and_Paperboard,Machine made Paper and Paperboard (China Statistical Yearbook table E13_13),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_13_Metal_cutting_Machine_Tools,Metal cutting Machine Tools (China Statistical Yearbook table E13_13),numeric,non-negative numeric; see unit,10000_units,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_13_Micro_Computer_Equipment,Micro Computer Equipment (China Statistical Yearbook table E13_13),numeric,non-negative numeric; see unit,10000_units,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_13_Mobile_Phones,Mobile Phones (China Statistical Yearbook table E13_13),numeric,non-negative numeric; see unit,10000_units,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_13_Motor_Vehicles,Motor Vehicles (China Statistical Yearbook table E13_13),numeric,non-negative numeric; see unit,10000_units,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_13_Pig_Iron,Pig Iron (China Statistical Yearbook table E13_13),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_13_Plate_Glass,Plate Glass (China Statistical Yearbook table E13_13),numeric,non-negative numeric; see unit,10000_weight_cases,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E13_13_Power_Generation_Equipment,Power Generation Equipment (China Statistical Yearbook table E13_13),numeric,non-negative numeric; see unit,10000_kW,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
